Randomly generated directed graphs, attributes are real values from the unit range
the metric is the absolute value metric with a default value (missing edge/vertex attribute) of 0

Vertices: 70, density: 1.00. Mine / theirs: 2.127. Time: 4.417s. Average: 2.127
Vertices: 70, density: 1.00. Mine / theirs: 2.159. Time: 4.236s. Average: 2.143
Vertices: 70, density: 1.00. Mine / theirs: 2.208. Time: 4.112s. Average: 2.164
Vertices: 70, density: 1.00. Mine / theirs: 2.130. Time: 4.920s. Average: 2.156
Vertices: 70, density: 1.00. Mine / theirs: 2.163. Time: 4.834s. Average: 2.157
Vertices: 70, density: 0.99. Mine / theirs: 2.099. Time: 4.833s. Average: 2.148
Vertices: 70, density: 0.99. Mine / theirs: 2.137. Time: 4.805s. Average: 2.146
Vertices: 70, density: 0.99. Mine / theirs: 2.191. Time: 4.742s. Average: 2.152
Vertices: 70, density: 0.99. Mine / theirs: 2.094. Time: 4.756s. Average: 2.145
Vertices: 70, density: 0.99. Mine / theirs: 2.124. Time: 4.838s. Average: 2.143
Vertices: 70, density: 0.98. Mine / theirs: 2.090. Time: 4.831s. Average: 2.138
Vertices: 70, density: 0.98. Mine / theirs: 2.129. Time: 4.934s. Average: 2.137
Vertices: 70, density: 0.98. Mine / theirs: 2.255. Time: 4.721s. Average: 2.147
Vertices: 70, density: 0.98. Mine / theirs: 2.157. Time: 4.792s. Average: 2.147
Vertices: 70, density: 0.98. Mine / theirs: 2.068. Time: 5.016s. Average: 2.142
Vertices: 70, density: 0.97. Mine / theirs: 2.087. Time: 4.903s. Average: 2.139
Vertices: 70, density: 0.97. Mine / theirs: 2.042. Time: 4.792s. Average: 2.133
Vertices: 70, density: 0.97. Mine / theirs: 2.136. Time: 5.006s. Average: 2.133
Vertices: 70, density: 0.97. Mine / theirs: 2.116. Time: 5.265s. Average: 2.132
Vertices: 70, density: 0.97. Mine / theirs: 2.055. Time: 4.962s. Average: 2.128
Vertices: 70, density: 0.96. Mine / theirs: 2.156. Time: 4.725s. Average: 2.130
Vertices: 70, density: 0.96. Mine / theirs: 2.018. Time: 4.662s. Average: 2.125
Vertices: 70, density: 0.96. Mine / theirs: 2.147. Time: 4.753s. Average: 2.126
Vertices: 70, density: 0.96. Mine / theirs: 2.161. Time: 4.752s. Average: 2.127
Vertices: 70, density: 0.96. Mine / theirs: 2.084. Time: 4.706s. Average: 2.125
Vertices: 70, density: 0.95. Mine / theirs: 2.018. Time: 4.786s. Average: 2.121
Vertices: 70, density: 0.95. Mine / theirs: 2.114. Time: 4.694s. Average: 2.121
Vertices: 70, density: 0.95. Mine / theirs: 2.214. Time: 4.713s. Average: 2.124
Vertices: 70, density: 0.95. Mine / theirs: 2.146. Time: 4.714s. Average: 2.125
Vertices: 70, density: 0.95. Mine / theirs: 2.005. Time: 4.661s. Average: 2.121
Vertices: 70, density: 0.94. Mine / theirs: 2.090. Time: 4.750s. Average: 2.120
Vertices: 70, density: 0.94. Mine / theirs: 2.227. Time: 4.663s. Average: 2.123
Vertices: 70, density: 0.94. Mine / theirs: 2.102. Time: 4.705s. Average: 2.123
Vertices: 70, density: 0.94. Mine / theirs: 2.226. Time: 4.518s. Average: 2.126
Vertices: 70, density: 0.94. Mine / theirs: 2.150. Time: 4.789s. Average: 2.126
Vertices: 70, density: 0.93. Mine / theirs: 2.065. Time: 4.631s. Average: 2.125
Vertices: 70, density: 0.93. Mine / theirs: 2.101. Time: 4.712s. Average: 2.124
Vertices: 70, density: 0.93. Mine / theirs: 2.116. Time: 4.676s. Average: 2.124
Vertices: 70, density: 0.93. Mine / theirs: 2.085. Time: 4.680s. Average: 2.123
Vertices: 70, density: 0.93. Mine / theirs: 2.172. Time: 4.661s. Average: 2.124
Vertices: 70, density: 0.92. Mine / theirs: 2.231. Time: 4.652s. Average: 2.127
Vertices: 70, density: 0.92. Mine / theirs: 2.148. Time: 4.601s. Average: 2.127
Vertices: 70, density: 0.92. Mine / theirs: 2.244. Time: 4.645s. Average: 2.130
Vertices: 70, density: 0.92. Mine / theirs: 2.096. Time: 4.692s. Average: 2.129
Vertices: 70, density: 0.92. Mine / theirs: 2.082. Time: 4.721s. Average: 2.128
Vertices: 70, density: 0.91. Mine / theirs: 2.097. Time: 4.591s. Average: 2.127
Vertices: 70, density: 0.91. Mine / theirs: 2.121. Time: 4.627s. Average: 2.127
Vertices: 70, density: 0.91. Mine / theirs: 2.251. Time: 4.708s. Average: 2.130
Vertices: 70, density: 0.91. Mine / theirs: 2.164. Time: 4.604s. Average: 2.130
Vertices: 70, density: 0.91. Mine / theirs: 2.125. Time: 4.679s. Average: 2.130
Vertices: 70, density: 0.90. Mine / theirs: 2.145. Time: 4.721s. Average: 2.131
Vertices: 70, density: 0.90. Mine / theirs: 2.103. Time: 4.768s. Average: 2.130
Vertices: 70, density: 0.90. Mine / theirs: 2.159. Time: 4.697s. Average: 2.131
Vertices: 70, density: 0.90. Mine / theirs: 2.179. Time: 4.648s. Average: 2.132
Vertices: 70, density: 0.90. Mine / theirs: 2.153. Time: 4.701s. Average: 2.132
Vertices: 70, density: 0.89. Mine / theirs: 2.177. Time: 4.695s. Average: 2.133
Vertices: 70, density: 0.89. Mine / theirs: 2.110. Time: 4.595s. Average: 2.132
Vertices: 70, density: 0.89. Mine / theirs: 2.162. Time: 4.706s. Average: 2.133
Vertices: 70, density: 0.89. Mine / theirs: 2.174. Time: 4.838s. Average: 2.134
Vertices: 70, density: 0.89. Mine / theirs: 2.158. Time: 4.893s. Average: 2.134
Vertices: 70, density: 0.88. Mine / theirs: 2.128. Time: 4.823s. Average: 2.134
Vertices: 70, density: 0.88. Mine / theirs: 2.182. Time: 4.675s. Average: 2.135
Vertices: 70, density: 0.88. Mine / theirs: 2.123. Time: 4.531s. Average: 2.134
Vertices: 70, density: 0.88. Mine / theirs: 2.064. Time: 4.642s. Average: 2.133
Vertices: 70, density: 0.88. Mine / theirs: 2.179. Time: 4.619s. Average: 2.134
Vertices: 70, density: 0.87. Mine / theirs: 2.159. Time: 4.547s. Average: 2.134
Vertices: 70, density: 0.87. Mine / theirs: 1.968. Time: 4.537s. Average: 2.132
Vertices: 70, density: 0.87. Mine / theirs: 2.137. Time: 4.633s. Average: 2.132
Vertices: 70, density: 0.87. Mine / theirs: 2.180. Time: 4.617s. Average: 2.133
Vertices: 70, density: 0.87. Mine / theirs: 2.129. Time: 4.566s. Average: 2.133
Vertices: 70, density: 0.86. Mine / theirs: 2.134. Time: 4.558s. Average: 2.133
Vertices: 70, density: 0.86. Mine / theirs: 2.136. Time: 4.519s. Average: 2.133
Vertices: 70, density: 0.86. Mine / theirs: 2.070. Time: 4.695s. Average: 2.132
Vertices: 70, density: 0.86. Mine / theirs: 2.240. Time: 4.748s. Average: 2.133
Vertices: 70, density: 0.86. Mine / theirs: 2.069. Time: 4.616s. Average: 2.132
Vertices: 70, density: 0.85. Mine / theirs: 2.184. Time: 4.531s. Average: 2.133
Vertices: 70, density: 0.85. Mine / theirs: 2.139. Time: 4.489s. Average: 2.133
Vertices: 70, density: 0.85. Mine / theirs: 2.121. Time: 4.581s. Average: 2.133
Vertices: 70, density: 0.85. Mine / theirs: 2.103. Time: 4.544s. Average: 2.133
Vertices: 70, density: 0.85. Mine / theirs: 2.126. Time: 4.380s. Average: 2.133
Vertices: 70, density: 0.84. Mine / theirs: 2.114. Time: 4.558s. Average: 2.132
Vertices: 70, density: 0.84. Mine / theirs: 2.095. Time: 4.501s. Average: 2.132
Vertices: 70, density: 0.84. Mine / theirs: 2.132. Time: 4.498s. Average: 2.132
Vertices: 70, density: 0.84. Mine / theirs: 2.189. Time: 4.450s. Average: 2.133
Vertices: 70, density: 0.84. Mine / theirs: 2.130. Time: 4.512s. Average: 2.133
Vertices: 70, density: 0.83. Mine / theirs: 2.125. Time: 4.355s. Average: 2.132
Vertices: 70, density: 0.83. Mine / theirs: 2.145. Time: 4.517s. Average: 2.133
Vertices: 70, density: 0.83. Mine / theirs: 2.176. Time: 4.459s. Average: 2.133
Vertices: 70, density: 0.83. Mine / theirs: 2.214. Time: 4.565s. Average: 2.134
Vertices: 70, density: 0.83. Mine / theirs: 2.146. Time: 4.440s. Average: 2.134
Vertices: 70, density: 0.82. Mine / theirs: 1.976. Time: 4.771s. Average: 2.132
Vertices: 70, density: 0.82. Mine / theirs: 2.198. Time: 4.437s. Average: 2.133
